nome,massa_kg,raio_medio_km,temperatura_k,t_ano,r_ua,trc_kepler
Mercúrio,3.3011e+23,2439.7,440.0,0.240846,0.3870990491151256,1.0000289261373196
Vênus,4.8685e+24,6051.8,734.15,0.615,0.723327595715169,0.9994133098334173
Terra,5.9736e+24,6378.1,287.15,1.0,1.0,1.0
Marte,6.4174e+23,3396.2,210.14999999999998,1.88089,1.5237554103511088,0.9999562816431826
Júpiter,1.8986e+27,71492.0,165.14999999999998,11.862,5.202493357175086,0.9992662888337027
Saturno,5.6834e+26,58232.0,134.14999999999998,29.457,9.536656695466167,1.0004343215143474
Urano,8.681e+25,25362.0,53.14999999999998,84.012,19.187653536990926,0.9991185984990205
Netuno,1.0241e+26,24622.0,49.99999999999997,164.79,30.069118802119018,0.998848460517087
